Total Nacional;Comunidades y Ciudades Autónomas;Situación laboral;Sexo;Total;Total_ps
Total Nacional;07 Castilla y León;No consta;Mujeres;0;0
Total Nacional;08 Castilla - La Mancha;Total;Total;100;100
Total Nacional;08 Castilla - La Mancha;Total;Hombres;15,34;15.34
Total Nacional;08 Castilla - La Mancha;Total;Mujeres;84,66;84.66
Total Nacional;08 Castilla - La Mancha;Colegiados no jubilados;Total;100;100
Total Nacional;08 Castilla - La Mancha;Colegiados no jubilados;Hombres;15,34;15.34
Total Nacional;08 Castilla - La Mancha;Colegiados no jubilados;Mujeres;84,66;84.66
Total Nacional;08 Castilla - La Mancha;Colegiados jubilados;Total;0;0
Total Nacional;08 Castilla - La Mancha;Colegiados jubilados;Hombres;0;0
Total Nacional;08 Castilla - La Mancha;Colegiados jubilados;Mujeres;0;0
Total Nacional;08 Castilla - La Mancha;No consta;Total;0;0
Total Nacional;08 Castilla - La Mancha;No consta;Hombres;0;0
Total Nacional;08 Castilla - La Mancha;No consta;Mujeres;0;0
Total Nacional;09 Cataluña;Total;Total;100;100
Total Nacional;09 Cataluña;Total;Hombres;17,24;17.24
Total Nacional;09 Cataluña;Total;Mujeres;82,76;82.76
Total Nacional;09 Cataluña;Colegiados no jubilados;Total;98,72;98.72
Total Nacional;09 Cataluña;Colegiados no jubilados;Hombres;16,86;16.86
Total Nacional;09 Cataluña;Colegiados no jubilados;Mujeres;81,86;81.86
Total Nacional;09 Cataluña;Colegiados jubilados;Total;1,28;1.28
Total Nacional;09 Cataluña;Colegiados jubilados;Hombres;0,38;0.38
Total Nacional;09 Cataluña;Colegiados jubilados;Mujeres;0,9;0.9
Total Nacional;09 Cataluña;No consta;Total;0;0
Total Nacional;09 Cataluña;No consta;Hombres;0;0
Total Nacional;09 Cataluña;No consta;Mujeres;0;0
Total Nacional;10 Comunitat Valenciana;Total;Total;100;100
Total Nacional;10 Comunitat Valenciana;Total;Hombres;18,34;18.34
Total Nacional;10 Comunitat Valenciana;Total;Mujeres;81,66;81.66
Total Nacional;10 Comunitat Valenciana;Colegiados no jubilados;Total;99,41;99.41
Total Nacional;10 Comunitat Valenciana;Colegiados no jubilados;Hombres;18,11;18.11
Total Nacional;10 Comunitat Valenciana;Colegiados no jubilados;Mujeres;81,29;81.29
Total Nacional;10 Comunitat Valenciana;Colegiados jubilados;Total;0,59;0.59
Total Nacional;10 Comunitat Valenciana;Colegiados jubilados;Hombres;0,22;0.22
Total Nacional;10 Comunitat Valenciana;Colegiados jubilados;Mujeres;0,37;0.37
Total Nacional;10 Comunitat Valenciana;No consta;Total;0;0
Total Nacional;10 Comunitat Valenciana;No consta;Hombres;0;0
Total Nacional;10 Comunitat Valenciana;No consta;Mujeres;0;0
Total Nacional;11 Extremadura;Total;Total;100;100
Total Nacional;11 Extremadura;Total;Hombres;18,94;18.94
Total Nacional;11 Extremadura;Total;Mujeres;81,06;81.06
Total Nacional;11 Extremadura;Colegiados no jubilados;Total;99,72;99.72
Total Nacional;11 Extremadura;Colegiados no jubilados;Hombres;18,94;18.94
Total Nacional;11 Extremadura;Colegiados no jubilados;Mujeres;80,78;80.78
Total Nacional;11 Extremadura;Colegiados jubilados;Total;0,28;0.28
Total Nacional;11 Extremadura;Colegiados jubilados;Hombres;0;0
Total Nacional;11 Extremadura;Colegiados jubilados;Mujeres;0,28;0.28
Total Nacional;11 Extremadura;No consta;Total;0;0
Total Nacional;11 Extremadura;No consta;Hombres;0;0
Total Nacional;11 Extremadura;No consta;Mujeres;0;0
Total Nacional;12 Galicia;Total;Total;100;100
Total Nacional;12 Galicia;Total;Hombres;17,83;17.83
Total Nacional;12 Galicia;Total;Mujeres;82,17;82.17
Total Nacional;12 Galicia;Colegiados no jubilados;Total;99,1;99.1
