Total Nacional;Comunidades y Ciudades Autónomas;Situación laboral;Total
TOTAL;;Total;80.36
TOTAL;;Colegiados no jubilados;79.64
TOTAL;;Colegiados jubilados;0.72
TOTAL;;No consta;0.00
TOTAL;Andalucía;Total;62.45
TOTAL;Andalucía;Colegiados no jubilados;62.26
TOTAL;Andalucía;Colegiados jubilados;0.19
TOTAL;Andalucía;No consta;0.00
TOTAL;Aragón;Total;62.36
TOTAL;Aragón;Colegiados no jubilados;60.99
TOTAL;Aragón;Colegiados jubilados;1.36
TOTAL;Aragón;No consta;0.00
TOTAL;Asturias, Principado de;Total;99.65
TOTAL;Asturias, Principado de;Colegiados no jubilados;97.66
TOTAL;Asturias, Principado de;Colegiados jubilados;1.99
TOTAL;Asturias, Principado de;No consta;0.00
TOTAL;Balears, Illes;Total;80.67
TOTAL;Balears, Illes;Colegiados no jubilados;79.70
TOTAL;Balears, Illes;Colegiados jubilados;0.97
TOTAL;Balears, Illes;No consta;0.00
TOTAL;Canarias;Total;90.35
TOTAL;Canarias;Colegiados no jubilados;88.77
TOTAL;Canarias;Colegiados jubilados;1.58
TOTAL;Canarias;No consta;0.00
TOTAL;Cantabria;Total;66.34
TOTAL;Cantabria;Colegiados no jubilados;65.83
TOTAL;Cantabria;Colegiados jubilados;0.51
TOTAL;Cantabria;No consta;0.00
TOTAL;Castilla y León;Total;45.98
TOTAL;Castilla y León;Colegiados no jubilados;45.43
TOTAL;Castilla y León;Colegiados jubilados;0.55
TOTAL;Castilla y León;No consta;0.00
TOTAL;Castilla-La Mancha;Total;26.29
TOTAL;Castilla-La Mancha;Colegiados no jubilados;26.24
TOTAL;Castilla-La Mancha;Colegiados jubilados;0.05
TOTAL;Castilla-La Mancha;No consta;0.00
TOTAL;Cataluña;Total;54.94
TOTAL;Cataluña;Colegiados no jubilados;54.46
TOTAL;Cataluña;Colegiados jubilados;0.48
TOTAL;Cataluña;No consta;0.00
TOTAL;Comunidad Valenciana;Total;54.52
TOTAL;Comunidad Valenciana;Colegiados no jubilados;54.20
TOTAL;Comunidad Valenciana;Colegiados jubilados;0.31
TOTAL;Comunidad Valenciana;No consta;0.00
TOTAL;Extremadura;Total;70.81
TOTAL;Extremadura;Colegiados no jubilados;70.62
TOTAL;Extremadura;Colegiados jubilados;0.19
TOTAL;Extremadura;No consta;0.00
TOTAL;Galicia;Total;59.87
TOTAL;Galicia;Colegiados no jubilados;59.31
TOTAL;Galicia;Colegiados jubilados;0.56
TOTAL;Galicia;No consta;0.00
TOTAL;Madrid, Comunidad de;Total;177.12
TOTAL;Madrid, Comunidad de;Colegiados no jubilados;175.95
TOTAL;Madrid, Comunidad de;Colegiados jubilados;1.17
TOTAL;Madrid, Comunidad de;No consta;0.00
TOTAL;Murcia, Región de;Total;97.12
TOTAL;Murcia, Región de;Colegiados no jubilados;95.63
TOTAL;Murcia, Región de;Colegiados jubilados;1.49
TOTAL;Murcia, Región de;No consta;0.00
TOTAL;Navarra, Comunidad Foral de;Total;82.27
TOTAL;Navarra, Comunidad Foral de;Colegiados no jubilados;78.66
TOTAL;Navarra, Comunidad Foral de;Colegiados jubilados;3.61
TOTAL;Navarra, Comunidad Foral de;No consta;0.00
TOTAL;País Vasco;Total;96.42
TOTAL;País Vasco;Colegiados no jubilados;95.41
TOTAL;País Vasco;Colegiados jubilados;1.01
TOTAL;País Vasco;No consta;0.00
TOTAL;Rioja, La;Total;98.19
TOTAL;Rioja, La;Colegiados no jubilados;96.62
TOTAL;Rioja, La;Colegiados jubilados;1.57
TOTAL;Rioja, La;No consta;0.00
TOTAL;Ceuta;Total;45.95
TOTAL;Ceuta;Colegiados no jubilados;45.95
TOTAL;Ceuta;Colegiados jubilados;0.00
TOTAL;Ceuta;No consta;0.00
TOTAL;Melilla;Total;125.83
TOTAL;Melilla;Colegiados no jubilados;125.83
TOTAL;Melilla;Colegiados jubilados;0.00
TOTAL;Melilla;No consta;0.00
