Tipo de jornada;Comunidades y Ciudades Autonómas;Decil;Periodo;Total;Total_num
Total;Total Nacional;Total decil;2022;2.128,37  ;2128.37
Total;Total Nacional;Total decil;2021;2.086,78  ;2086.78
Total;Total Nacional;Total decil;2020;2.038,59  ;2038.59
Total;Total Nacional;Total decil;2019;1.982,31  ;1982.31
Total;Total Nacional;Total decil;2018;1.944,42  ;1944.42
Total;Total Nacional;Total decil;2017;1.888,95  ;1888.95
Total;Total Nacional;Total decil;2016;1.878,09  ;1878.09
Total;Total Nacional;Total decil;2015;1.893,70  ;1893.7
Total;Total Nacional;Total decil;2014;1.881,32  ;1881.32
Total;Total Nacional;Total decil;2013;1.869,11  ;1869.11
Total;Total Nacional;Total decil;2012;1.850,26  ;1850.26
Total;Total Nacional;Total decil;2011;1.841,75  ;1841.75
Total;Total Nacional;Total decil;2010;1.838,82  ;1838.82
Total;Total Nacional;Total decil;2009;1.815,18  ;1815.18
Total;Total Nacional;Total decil;2008;1.774,34  ;1774.34
Total;Total Nacional;Total decil;2007;1.643,46  ;1643.46
Total;Total Nacional;Total decil;2006;1.572,59  ;1572.59
Total;Total Nacional;1;2022;623,30  ;623.3
Total;Total Nacional;1;2021;570,52  ;570.52
Total;Total Nacional;1;2020;521,33  ;521.33
Total;Total Nacional;1;2019;532,31  ;532.31
Total;Total Nacional;1;2018;479,90  ;479.9
Total;Total Nacional;1;2017;464,34  ;464.34
Total;Total Nacional;1;2016;462,72  ;462.72
Total;Total Nacional;1;2015;420,05  ;420.05
Total;Total Nacional;1;2014;411,17  ;411.17
Total;Total Nacional;1;2013;414,49  ;414.49
Total;Total Nacional;1;2012;425,57  ;425.57
Total;Total Nacional;1;2011;464,50  ;464.5
Total;Total Nacional;1;2010;482,43  ;482.43
Total;Total Nacional;1;2009;495,94  ;495.94
Total;Total Nacional;1;2008;501,25  ;501.25
Total;Total Nacional;1;2007;501,73  ;501.73
Total;Total Nacional;1;2006;474,18  ;474.18
Total;Total Nacional;2;2022;1.138,68  ;1138.68
Total;Total Nacional;2;2021;1.042,58  ;1042.58
Total;Total Nacional;2;2020;1.006,63  ;1006.63
Total;Total Nacional;2;2019;994,51  ;994.51
Total;Total Nacional;2;2018;904,87  ;904.87
Total;Total Nacional;2;2017;863,90  ;863.9
Total;Total Nacional;2;2016;856,88  ;856.88
Total;Total Nacional;2;2015;828,96  ;828.96
Total;Total Nacional;2;2014;819,61  ;819.61
Total;Total Nacional;2;2013;812,18  ;812.18
Total;Total Nacional;2;2012;840,19  ;840.19
Total;Total Nacional;2;2011;863,82  ;863.82
Total;Total Nacional;2;2010;893,11  ;893.11
Total;Total Nacional;2;2009;875,93  ;875.93
Total;Total Nacional;2;2008;888,73  ;888.73
Total;Total Nacional;2;2007;852,21  ;852.21
Total;Total Nacional;2;2006;800,67  ;800.67
Total;Total Nacional;3;2022;1.346,27  ;1346.27
Total;Total Nacional;3;2021;1.267,60  ;1267.6
Total;Total Nacional;3;2020;1.236,99  ;1236.99
Total;Total Nacional;3;2019;1.222,45  ;1222.45
Total;Total Nacional;3;2018;1.156,51  ;1156.51
Total;Total Nacional;3;2017;1.121,90  ;1121.9
Total;Total Nacional;3;2016;1.118,31  ;1118.31
Total;Total Nacional;3;2015;1.102,14  ;1102.14
Total;Total Nacional;3;2014;1.100,85  ;1100.85
Total;Total Nacional;3;2013;1.103,32  ;1103.32
Total;Total Nacional;3;2012;1.121,65  ;1121.65
Total;Total Nacional;3;2011;1.128,86  ;1128.86
Total;Total Nacional;3;2010;1.141,96  ;1141.96
Total;Total Nacional;3;2009;1.120,03  ;1120.03
Total;Total Nacional;3;2008;1.113,37  ;1113.37
Total;Total Nacional;3;2007;1.060,66  ;1060.66
Total;Total Nacional;3;2006;1.006,02  ;1006.02
Total;Total Nacional;4;2022;1.528,94  ;1528.94
Total;Total Nacional;4;2021;1.461,63  ;1461.63
Total;Total Nacional;4;2020;1.423,40  ;1423.4
Total;Total Nacional;4;2019;1.418,13  ;1418.13
Total;Total Nacional;4;2018;1.357,44  ;1357.44
Total;Total Nacional;4;2017;1.323,00  ;1323,00
Total;Total Nacional;4;2016;1.325,36  ;1325.36
Total;Total Nacional;4;2015;1.310,96  ;1310.96
Total;Total Nacional;4;2014;1.315,48  ;1315.48
Total;Total Nacional;4;2013;1.318,70  ;1318.7
Total;Total Nacional;4;2012;1.322,12  ;1322.12
Total;Total Nacional;4;2011;1.309,99  ;1309.99
Total;Total Nacional;4;2010;1.316,31  ;1316.31
Total;Total Nacional;4;2009;1.290,22  ;1290.22
Total;Total Nacional;4;2008;1.267,34  ;1267.34
Total;Total Nacional;4;2007;1.203,80  ;1203.8
Total;Total Nacional;4;2006;1.144,23  ;1144.23
Total;Total Nacional;5;2022;1.717,18  ;1717.18
Total;Total Nacional;5;2021;1.657,27  ;1657.27
Total;Total Nacional;5;2020;1.606,91  ;1606.91
Total;Total Nacional;5;2019;1.595,30  ;1595.3
Total;Total Nacional;5;2018;1.546,73  ;1546.73
Total;Total Nacional;5;2017;1.497,73  ;1497.73
Total;Total Nacional;5;2016;1.498,22  ;1498.22
Total;Total Nacional;5;2015;1.497,67  ;1497.67
Total;Total Nacional;5;2014;1.502,97  ;1502.97
Total;Total Nacional;5;2013;1.503,02  ;1503.02
Total;Total Nacional;5;2012;1.492,68  ;1492.68
Total;Total Nacional;5;2011;1.484,84  ;1484.84
Total;Total Nacional;5;2010;1.478,49  ;1478.49
Total;Total Nacional;5;2009;1.443,59  ;1443.59
Total;Total Nacional;5;2008;1.411,69  ;1411.69
Total;Total Nacional;5;2007;1.337,14  ;1337.14
Total;Total Nacional;5;2006;1.270,35  ;1270.35
Total;Total Nacional;6;2022;1.923,82  ;1923.82
Total;Total Nacional;6;2021;1.874,00  ;1874,00
Total;Total Nacional;6;2020;1.816,81  ;1816.81
Total;Total Nacional;6;2019;1.793,56  ;1793.56
Total;Total Nacional;6;2018;1.752,61  ;1752.61
Total;Total Nacional;6;2017;1.698,01  ;1698.01
Total;Total Nacional;6;2016;1.703,87  ;1703.87
Total;Total Nacional;6;2015;1.703,73  ;1703.73
Total;Total Nacional;6;2014;1.715,14  ;1715.14
Total;Total Nacional;6;2013;1.703,65  ;1703.65
Total;Total Nacional;6;2012;1.685,43  ;1685.43
Total;Total Nacional;6;2011;1.678,80  ;1678.8
Total;Total Nacional;6;2010;1.667,40  ;1667.4
Total;Total Nacional;6;2009;1.627,28  ;1627.28
Total;Total Nacional;6;2008;1.577,72  ;1577.72
Total;Total Nacional;6;2007;1.491,60  ;1491.6
Total;Total Nacional;6;2006;1.418,54  ;1418.54
Total;Total Nacional;7;2022;2.195,67  ;2195.67
Total;Total Nacional;7;2021;2.163,23  ;2163.23
Total;Total Nacional;7;2020;2.107,38  ;2107.38
Total;Total Nacional;7;2019;2.058,48  ;2058.48
Total;Total Nacional;7;2018;2.017,40  ;2017.4
Total;Total Nacional;7;2017;1.970,29  ;1970.29
Total;Total Nacional;7;2016;1.969,37  ;1969.37
Total;Total Nacional;7;2015;1.960,42  ;1960.42
Total;Total Nacional;7;2014;1.996,68  ;1996.68
Total;Total Nacional;7;2013;1.979,18  ;1979.18
Total;Total Nacional;7;2012;1.943,47  ;1943.47
Total;Total Nacional;7;2011;1.926,53  ;1926.53
Total;Total Nacional;7;2010;1.916,64  ;1916.64
Total;Total Nacional;7;2009;1.869,76  ;1869.76
Total;Total Nacional;7;2008;1.795,61  ;1795.61
Total;Total Nacional;7;2007;1.703,23  ;1703.23
Total;Total Nacional;7;2006;1.629,36  ;1629.36
Total;Total Nacional;8;2022;2.602,46  ;2602.46
Total;Total Nacional;8;2021;2.576,34  ;2576.34
Total;Total Nacional;8;2020;2.541,41  ;2541.41
Total;Total Nacional;8;2019;2.446,63  ;2446.63
Total;Total Nacional;8;2018;2.422,04  ;2422.04
Total;Total Nacional;8;2017;2.363,15  ;2363.15
Total;Total Nacional;8;2016;2.355,00  ;2355,00
Total;Total Nacional;8;2015;2.363,55  ;2363.55
Total;Total Nacional;8;2014;2.386,34  ;2386.34
Total;Total Nacional;8;2013;2.364,47  ;2364.47
Total;Total Nacional;8;2012;2.304,23  ;2304.23
Total;Total Nacional;8;2011;2.291,51  ;2291.51
Total;Total Nacional;8;2010;2.291,37  ;2291.37
Total;Total Nacional;8;2009;2.240,02  ;2240.02
Total;Total Nacional;8;2008;2.144,92  ;2144.92
Total;Total Nacional;8;2007;2.043,02  ;2043.02
Total;Total Nacional;8;2006;1.960,29  ;1960.29
Total;Total Nacional;9;2022;3.187,59  ;3187.59
Total;Total Nacional;9;2021;3.159,64  ;3159.64
Total;Total Nacional;9;2020;3.160,32  ;3160.32
Total;Total Nacional;9;2019;3.035,46  ;3035.46
Total;Total Nacional;9;2018;3.006,17  ;3006.17
Total;Total Nacional;9;2017;2.955,46  ;2955.46
Total;Total Nacional;9;2016;2.921,88  ;2921.88
Total;Total Nacional;9;2015;2.964,23  ;2964.23
Total;Total Nacional;9;2014;2.946,62  ;2946.62
Total;Total Nacional;9;2013;2.915,77  ;2915.77
Total;Total Nacional;9;2012;2.851,55  ;2851.55
Total;Total Nacional;9;2011;2.847,54  ;2847.54
Total;Total Nacional;9;2010;2.842,26  ;2842.26
Total;Total Nacional;9;2009;2.818,47  ;2818.47
Total;Total Nacional;9;2008;2.695,83  ;2695.83
Total;Total Nacional;9;2007;2.570,05  ;2570.05
Total;Total Nacional;9;2006;2.447,82  ;2447.82
Total;Total Nacional;10;2022;5.019,08  ;5019.08
Total;Total Nacional;10;2021;5.092,67  ;5092.67
Total;Total Nacional;10;2020;4.964,01  ;4964.01
Total;Total Nacional;10;2019;4.725,47  ;4725.47
Total;Total Nacional;10;2018;4.799,61  ;4799.61
Total;Total Nacional;10;2017;4.631,17  ;4631.17
Total;Total Nacional;10;2016;4.568,68  ;4568.68
Total;Total Nacional;10;2015;4.784,50  ;4784.5
Total;Total Nacional;10;2014;4.616,94  ;4616.94
Total;Total Nacional;10;2013;4.574,92  ;4574.92
Total;Total Nacional;10;2012;4.515,01  ;4515.01
Total;Total Nacional;10;2011;4.418,37  ;4418.37
Total;Total Nacional;10;2010;4.356,53  ;4356.53
Total;Total Nacional;10;2009;4.370,12  ;4370.12
Total;Total Nacional;10;2008;4.346,26  ;4346.26
Total;Total Nacional;10;2007;3.670,83  ;3670.83
Total;Total Nacional;10;2006;3.573,70  ;3573.7
Total;01 Andalucía;Total decil;2022;1.914,87  ;1914.87
Total;01 Andalucía;Total decil;2021;1.860,56  ;1860.56
Total;01 Andalucía;Total decil;2020;1.837,33  ;1837.33
Total;01 Andalucía;Total decil;2019;1.773,03  ;1773.03
Total;01 Andalucía;Total decil;2018;1.748,97  ;1748.97
Total;01 Andalucía;Total decil;2017;1.681,31  ;1681.31
Total;01 Andalucía;Total decil;2016;1.686,40  ;1686.4
Total;01 Andalucía;Total decil;2015;1.653,89  ;1653.89
Total;01 Andalucía;Total decil;2014;1.645,51  ;1645.51
Total;01 Andalucía;Total decil;2013;1.645,35  ;1645.35
Total;01 Andalucía;Total decil;2012;1.638,96  ;1638.96
Total;01 Andalucía;Total decil;2011;1.676,98  ;1676.98
Total;01 Andalucía;Total decil;2010;1.658,84  ;1658.84
Total;01 Andalucía;Total decil;2009;1.659,85  ;1659.85
Total;01 Andalucía;Total decil;2008;1.601,81  ;1601.81
Total;01 Andalucía;Total decil;2007;1.512,69  ;1512.69
Total;01 Andalucía;Total decil;2006;1.444,01  ;1444.01
Total;01 Andalucía;1;2022;626,54  ;626.54
Total;01 Andalucía;1;2021;571,95  ;571.95
Total;01 Andalucía;1;2020;533,04  ;533.04
Total;01 Andalucía;1;2019;535,08  ;535.08
Total;01 Andalucía;1;2018;495,01  ;495.01
Total;01 Andalucía;1;2017;451,94  ;451.94
Total;01 Andalucía;1;2016;460,23  ;460.23
Total;01 Andalucía;1;2015;432,86  ;432.86
Total;01 Andalucía;1;2014;402,10  ;402.1
Total;01 Andalucía;1;2013;406,34  ;406.34
Total;01 Andalucía;1;2012;427,97  ;427.97
Total;01 Andalucía;1;2011;471,79  ;471.79
Total;01 Andalucía;1;2010;489,14  ;489.14
Total;01 Andalucía;1;2009;511,11  ;511.11
Total;01 Andalucía;1;2008;504,40  ;504.4
Total;01 Andalucía;1;2007;504,83  ;504.83
Total;01 Andalucía;1;2006;472,84  ;472.84
Total;01 Andalucía;2;2022;1.139,95  ;1139.95
Total;01 Andalucía;2;2021;1.043,06  ;1043.06
Total;01 Andalucía;2;2020;998,40  ;998.4
Total;01 Andalucía;2;2019;992,45  ;992.45
Total;01 Andalucía;2;2018;899,26  ;899.26
Total;01 Andalucía;2;2017;862,95  ;862.95
Total;01 Andalucía;2;2016;852,25  ;852.25
Total;01 Andalucía;2;2015;827,01  ;827.01
Total;01 Andalucía;2;2014;821,22  ;821.22
Total;01 Andalucía;2;2013;807,81  ;807.81
Total;01 Andalucía;2;2012;834,60  ;834.6
Total;01 Andalucía;2;2011;860,78  ;860.78
Total;01 Andalucía;2;2010;894,92  ;894.92
Total;01 Andalucía;2;2009;871,22  ;871.22
Total;01 Andalucía;2;2008;886,73  ;886.73
Total;01 Andalucía;2;2007;845,29  ;845.29
Total;01 Andalucía;2;2006;797,00  ;797,00
Total;01 Andalucía;3;2022;1.346,28  ;1346.28
Total;01 Andalucía;3;2021;1.271,16  ;1271.16
Total;01 Andalucía;3;2020;1.234,85  ;1234.85
Total;01 Andalucía;3;2019;1.223,13  ;1223.13
Total;01 Andalucía;3;2018;1.149,48  ;1149.48
Total;01 Andalucía;3;2017;1.113,90  ;1113.9
Total;01 Andalucía;3;2016;1.108,28  ;1108.28
Total;01 Andalucía;3;2015;1.098,03  ;1098.03
Total;01 Andalucía;3;2014;1.101,22  ;1101.22
Total;01 Andalucía;3;2013;1.103,58  ;1103.58
Total;01 Andalucía;3;2012;1.118,12  ;1118.12
Total;01 Andalucía;3;2011;1.124,11  ;1124.11
Total;01 Andalucía;3;2010;1.141,70  ;1141.7
Total;01 Andalucía;3;2009;1.119,65  ;1119.65
Total;01 Andalucía;3;2008;1.116,66  ;1116.66
Total;01 Andalucía;3;2007;1.059,33  ;1059.33
Total;01 Andalucía;3;2006;1.006,50  ;1006.5
Total;01 Andalucía;4;2022;1.527,28  ;1527.28
Total;01 Andalucía;4;2021;1.456,37  ;1456.37
Total;01 Andalucía;4;2020;1.421,48  ;1421.48
Total;01 Andalucía;4;2019;1.414,48  ;1414.48
Total;01 Andalucía;4;2018;1.360,43  ;1360.43
Total;01 Andalucía;4;2017;1.324,33  ;1324.33
Total;01 Andalucía;4;2016;1.324,25  ;1324.25
Total;01 Andalucía;4;2015;1.312,27  ;1312.27
Total;01 Andalucía;4;2014;1.314,87  ;1314.87
Total;01 Andalucía;4;2013;1.316,86  ;1316.86
Total;01 Andalucía;4;2012;1.316,55  ;1316.55
Total;01 Andalucía;4;2011;1.307,19  ;1307.19
Total;01 Andalucía;4;2010;1.318,60  ;1318.6
Total;01 Andalucía;4;2009;1.287,89  ;1287.89
Total;01 Andalucía;4;2008;1.270,61  ;1270.61
Total;01 Andalucía;4;2007;1.203,88  ;1203.88
Total;01 Andalucía;4;2006;1.142,87  ;1142.87
Total;01 Andalucía;5;2022;1.717,15  ;1717.15
Total;01 Andalucía;5;2021;1.661,94  ;1661.94
Total;01 Andalucía;5;2020;1.604,29  ;1604.29
Total;01 Andalucía;5;2019;1.597,11  ;1597.11
Total;01 Andalucía;5;2018;1.544,71  ;1544.71
Total;01 Andalucía;5;2017;1.500,47  ;1500.47
Total;01 Andalucía;5;2016;1.500,45  ;1500.45
Total;01 Andalucía;5;2015;1.500,94  ;1500.94
Total;01 Andalucía;5;2014;1.502,71  ;1502.71
Total;01 Andalucía;5;2013;1.501,04  ;1501.04
Total;01 Andalucía;5;2012;1.496,77  ;1496.77
Total;01 Andalucía;5;2011;1.484,84  ;1484.84
Total;01 Andalucía;5;2010;1.475,97  ;1475.97
Total;01 Andalucía;5;2009;1.443,06  ;1443.06
Total;01 Andalucía;5;2008;1.413,33  ;1413.33
Total;01 Andalucía;5;2007;1.335,92  ;1335.92
Total;01 Andalucía;5;2006;1.268,23  ;1268.23
Total;01 Andalucía;6;2022;1.917,12  ;1917.12
Total;01 Andalucía;6;2021;1.867,39  ;1867.39
Total;01 Andalucía;6;2020;1.809,86  ;1809.86
Total;01 Andalucía;6;2019;1.794,96  ;1794.96
Total;01 Andalucía;6;2018;1.748,90  ;1748.9
Total;01 Andalucía;6;2017;1.692,59  ;1692.59
Total;01 Andalucía;6;2016;1.704,17  ;1704.17
Total;01 Andalucía;6;2015;1.697,21  ;1697.21
Total;01 Andalucía;6;2014;1.708,18  ;1708.18
Total;01 Andalucía;6;2013;1.702,09  ;1702.09
Total;01 Andalucía;6;2012;1.679,15  ;1679.15
Total;01 Andalucía;6;2011;1.674,78  ;1674.78
Total;01 Andalucía;6;2010;1.663,90  ;1663.9
Total;01 Andalucía;6;2009;1.619,79  ;1619.79
Total;01 Andalucía;6;2008;1.573,12  ;1573.12
Total;01 Andalucía;6;2007;1.487,20  ;1487.2
Total;01 Andalucía;6;2006;1.415,69  ;1415.69
Total;01 Andalucía;7;2022;2.190,43  ;2190.43
Total;01 Andalucía;7;2021;2.162,07  ;2162.07
Total;01 Andalucía;7;2020;2.103,78  ;2103.78
Total;01 Andalucía;7;2019;2.064,47  ;2064.47
Total;01 Andalucía;7;2018;2.016,21  ;2016.21
Total;01 Andalucía;7;2017;1.980,99  ;1980.99
Total;01 Andalucía;7;2016;1.971,90  ;1971.9
Total;01 Andalucía;7;2015;1.961,44  ;1961.44
Total;01 Andalucía;7;2014;1.993,43  ;1993.43
Total;01 Andalucía;7;2013;1.986,18  ;1986.18
Total;01 Andalucía;7;2012;1.935,24  ;1935.24
Total;01 Andalucía;7;2011;1.926,51  ;1926.51
Total;01 Andalucía;7;2010;1.918,82  ;1918.82
Total;01 Andalucía;7;2009;1.860,32  ;1860.32
Total;01 Andalucía;7;2008;1.793,82  ;1793.82
Total;01 Andalucía;7;2007;1.707,47  ;1707.47
Total;01 Andalucía;7;2006;1.628,45  ;1628.45
Total;01 Andalucía;8;2022;2.610,28  ;2610.28
Total;01 Andalucía;8;2021;2.583,86  ;2583.86
Total;01 Andalucía;8;2020;2.546,27  ;2546.27
Total;01 Andalucía;8;2019;2.443,69  ;2443.69
Total;01 Andalucía;8;2018;2.429,26  ;2429.26
Total;01 Andalucía;8;2017;2.361,45  ;2361.45
Total;01 Andalucía;8;2016;2.347,81  ;2347.81
Total;01 Andalucía;8;2015;2.367,67  ;2367.67
Total;01 Andalucía;8;2014;2.377,97  ;2377.97
Total;01 Andalucía;8;2013;2.347,66  ;2347.66
Total;01 Andalucía;8;2012;2.295,96  ;2295.96
Total;01 Andalucía;8;2011;2.285,48  ;2285.48
Total;01 Andalucía;8;2010;2.288,07  ;2288.07
Total;01 Andalucía;8;2009;2.243,15  ;2243.15
Total;01 Andalucía;8;2008;2.153,44  ;2153.44
Total;01 Andalucía;8;2007;2.047,07  ;2047.07
Total;01 Andalucía;8;2006;1.964,41  ;1964.41
Total;01 Andalucía;9;2022;3.166,05  ;3166.05
Total;01 Andalucía;9;2021;3.129,52  ;3129.52
Total;01 Andalucía;9;2020;3.157,22  ;3157.22
Total;01 Andalucía;9;2019;3.019,50  ;3019.5
Total;01 Andalucía;9;2018;2.988,49  ;2988.49
Total;01 Andalucía;9;2017;2.967,00  ;2967,00
Total;01 Andalucía;9;2016;2.908,10  ;2908.1
Total;01 Andalucía;9;2015;2.956,42  ;2956.42
Total;01 Andalucía;9;2014;2.937,85  ;2937.85
Total;01 Andalucía;9;2013;2.908,01  ;2908.01
Total;01 Andalucía;9;2012;2.860,77  ;2860.77
Total;01 Andalucía;9;2011;2.856,77  ;2856.77
Total;01 Andalucía;9;2010;2.849,52  ;2849.52
Total;01 Andalucía;9;2009;2.837,10  ;2837.1
Total;01 Andalucía;9;2008;2.699,37  ;2699.37
Total;01 Andalucía;9;2007;2.561,08  ;2561.08
Total;01 Andalucía;9;2006;2.450,99  ;2450.99
Total;01 Andalucía;10;2022;4.834,91  ;4834.91
Total;01 Andalucía;10;2021;4.924,70  ;4924.7
Total;01 Andalucía;10;2020;4.833,28  ;4833.28
Total;01 Andalucía;10;2019;4.479,56  ;4479.56
Total;01 Andalucía;10;2018;4.567,14  ;4567.14
Total;01 Andalucía;10;2017;4.467,06  ;4467.06
Total;01 Andalucía;10;2016;4.381,21  ;4381.21
Total;01 Andalucía;10;2015;4.448,36  ;4448.36
Total;01 Andalucía;10;2014;4.506,45  ;4506.45
Total;01 Andalucía;10;2013;4.460,35  ;4460.35
Total;01 Andalucía;10;2012;4.345,40  ;4345.4
Total;01 Andalucía;10;2011;4.279,44  ;4279.44
Total;01 Andalucía;10;2010;4.235,27  ;4235.27
Total;01 Andalucía;10;2009;4.213,04  ;4213.04
Total;01 Andalucía;10;2008;4.096,56  ;4096.56
Total;01 Andalucía;10;2007;3.580,99  ;3580.99
Total;01 Andalucía;10;2006;3.423,00  ;3423,00
Total;02 Aragón;Total decil;2022;2.029,96  ;2029.96
Total;02 Aragón;Total decil;2021;1.994,02  ;1994.02
Total;02 Aragón;Total decil;2020;1.972,37  ;1972.37
Total;02 Aragón;Total decil;2019;1.958,40  ;1958.4
Total;02 Aragón;Total decil;2018;1.951,39  ;1951.39
Total;02 Aragón;Total decil;2017;1.906,44  ;1906.44
Total;02 Aragón;Total decil;2016;1.824,57  ;1824.57
Total;02 Aragón;Total decil;2015;1.938,59  ;1938.59
Total;02 Aragón;Total decil;2014;1.875,24  ;1875.24
Total;02 Aragón;Total decil;2013;1.842,71  ;1842.71
Total;02 Aragón;Total decil;2012;1.887,41  ;1887.41
Total;02 Aragón;Total decil;2011;1.870,55  ;1870.55
Total;02 Aragón;Total decil;2010;1.894,43  ;1894.43
Total;02 Aragón;Total decil;2009;1.904,80  ;1904.8
Total;02 Aragón;Total decil;2008;1.819,98  ;1819.98
Total;02 Aragón;Total decil;2007;1.716,72  ;1716.72
Total;02 Aragón;Total decil;2006;1.631,70  ;1631.7
Total;02 Aragón;1;2022;588,71  ;588.71
Total;02 Aragón;1;2021;577,06  ;577.06
Total;02 Aragón;1;2020;510,13  ;510.13
Total;02 Aragón;1;2019;507,39  ;507.39
Total;02 Aragón;1;2018;483,31  ;483.31
Total;02 Aragón;1;2017;456,20  ;456.2
Total;02 Aragón;1;2016;485,84  ;485.84
Total;02 Aragón;1;2015;460,13  ;460.13
Total;02 Aragón;1;2014;398,99  ;398.99
Total;02 Aragón;1;2013;435,80  ;435.8
Total;02 Aragón;1;2012;457,63  ;457.63
Total;02 Aragón;1;2011;494,07  ;494.07
Total;02 Aragón;1;2010;480,05  ;480.05
Total;02 Aragón;1;2009;502,55  ;502.55
Total;02 Aragón;1;2008;506,74  ;506.74
Total;02 Aragón;1;2007;492,01  ;492.01
Total;02 Aragón;1;2006;464,63  ;464.63
Total;02 Aragón;2;2022;1.137,16  ;1137.16
Total;02 Aragón;2;2021;1.020,93  ;1020.93
Total;02 Aragón;2;2020;998,99  ;998.99
Total;02 Aragón;2;2019;990,09  ;990.09
Total;02 Aragón;2;2018;886,49  ;886.49
Total;02 Aragón;2;2017;854,64  ;854.64
Total;02 Aragón;2;2016;852,97  ;852.97
Total;02 Aragón;2;2015;830,25  ;830.25
Total;02 Aragón;2;2014;836,02  ;836.02
Total;02 Aragón;2;2013;807,07  ;807.07
Total;02 Aragón;2;2012;830,88  ;830.88
Total;02 Aragón;2;2011;879,60  ;879.6
Total;02 Aragón;2;2010;886,11  ;886.11
Total;02 Aragón;2;2009;868,38  ;868.38
Total;02 Aragón;2;2008;888,34  ;888.34
Total;02 Aragón;2;2007;829,08  ;829.08
Total;02 Aragón;2;2006;806,95  ;806.95
Total;02 Aragón;3;2022;1.346,25  ;1346.25
Total;02 Aragón;3;2021;1.263,55  ;1263.55
Total;02 Aragón;3;2020;1.244,02  ;1244.02
Total;02 Aragón;3;2019;1.215,93  ;1215.93
Total;02 Aragón;3;2018;1.160,44  ;1160.44
Total;02 Aragón;3;2017;1.129,41  ;1129.41
Total;02 Aragón;3;2016;1.127,19  ;1127.19
Total;02 Aragón;3;2015;1.102,26  ;1102.26
Total;02 Aragón;3;2014;1.102,34  ;1102.34
Total;02 Aragón;3;2013;1.105,95  ;1105.95
Total;02 Aragón;3;2012;1.117,21  ;1117.21
Total;02 Aragón;3;2011;1.129,94  ;1129.94
Total;02 Aragón;3;2010;1.145,22  ;1145.22
Total;02 Aragón;3;2009;1.118,70  ;1118.7
Total;02 Aragón;3;2008;1.119,35  ;1119.35
Total;02 Aragón;3;2007;1.059,85  ;1059.85
Total;02 Aragón;3;2006;1.007,54  ;1007.54
Total;02 Aragón;4;2022;1.527,91  ;1527.91
Total;02 Aragón;4;2021;1.463,88  ;1463.88
Total;02 Aragón;4;2020;1.422,84  ;1422.84
Total;02 Aragón;4;2019;1.424,89  ;1424.89
Total;02 Aragón;4;2018;1.364,85  ;1364.85
Total;02 Aragón;4;2017;1.326,90  ;1326.9
Total;02 Aragón;4;2016;1.325,06  ;1325.06
Total;02 Aragón;4;2015;1.306,44  ;1306.44
Total;02 Aragón;4;2014;1.326,34  ;1326.34
Total;02 Aragón;4;2013;1.315,18  ;1315.18
Total;02 Aragón;4;2012;1.320,74  ;1320.74
Total;02 Aragón;4;2011;1.301,91  ;1301.91
Total;02 Aragón;4;2010;1.309,88  ;1309.88
Total;02 Aragón;4;2009;1.288,68  ;1288.68
Total;02 Aragón;4;2008;1.266,29  ;1266.29
Total;02 Aragón;4;2007;1.206,97  ;1206.97
Total;02 Aragón;4;2006;1.147,04  ;1147.04
Total;02 Aragón;5;2022;1.719,38  ;1719.38
Total;02 Aragón;5;2021;1.648,53  ;1648.53
Total;02 Aragón;5;2020;1.607,03  ;1607.03
Total;02 Aragón;5;2019;1.594,67  ;1594.67
Total;02 Aragón;5;2018;1.535,39  ;1535.39
Total;02 Aragón;5;2017;1.497,07  ;1497.07
Total;02 Aragón;5;2016;1.501,18  ;1501.18
Total;02 Aragón;5;2015;1.494,84  ;1494.84
Total;02 Aragón;5;2014;1.510,37  ;1510.37
Total;02 Aragón;5;2013;1.500,04  ;1500.04
Total;02 Aragón;5;2012;1.494,99  ;1494.99
Total;02 Aragón;5;2011;1.475,39  ;1475.39
Total;02 Aragón;5;2010;1.485,69  ;1485.69
Total;02 Aragón;5;2009;1.444,10  ;1444.1
Total;02 Aragón;5;2008;1.404,02  ;1404.02
Total;02 Aragón;5;2007;1.341,53  ;1341.53
Total;02 Aragón;5;2006;1.274,19  ;1274.19
Total;02 Aragón;6;2022;1.919,00  ;1919,00
Total;02 Aragón;6;2021;1.866,54  ;1866.54
Total;02 Aragón;6;2020;1.824,17  ;1824.17
Total;02 Aragón;6;2019;1.789,25  ;1789.25
Total;02 Aragón;6;2018;1.757,20  ;1757.2
Total;02 Aragón;6;2017;1.707,62  ;1707.62
Total;02 Aragón;6;2016;1.700,15  ;1700.15
Total;02 Aragón;6;2015;1.696,09  ;1696.09
Total;02 Aragón;6;2014;1.724,77  ;1724.77
Total;02 Aragón;6;2013;1.704,75  ;1704.75
Total;02 Aragón;6;2012;1.693,53  ;1693.53
Total;02 Aragón;6;2011;1.682,74  ;1682.74
Total;02 Aragón;6;2010;1.671,56  ;1671.56
Total;02 Aragón;6;2009;1.625,50  ;1625.5
Total;02 Aragón;6;2008;1.580,96  ;1580.96
Total;02 Aragón;6;2007;1.492,28  ;1492.28
Total;02 Aragón;6;2006;1.419,03  ;1419.03
Total;02 Aragón;7;2022;2.201,98  ;2201.98
Total;02 Aragón;7;2021;2.159,04  ;2159.04
Total;02 Aragón;7;2020;2.107,14  ;2107.14
